filename,writer_id,character,round,char_class
Abdullah_uc_A_r01.png,Abdullah,uc_A,r01,auto
Abdullah_uc_A_r02.png,Abdullah,uc_A,r02,auto
Abdullah_uc_A_r03.png,Abdullah,uc_A,r03,auto
Abdullah_uc_B_r01.png,Abdullah,uc_B,r01,auto
Abdullah_uc_B_r02.png,Abdullah,uc_B,r02,auto
Abdullah_uc_B_r03.png,Abdullah,uc_B,r03,auto
Abdullah_uc_C_r01.png,Abdullah,uc_C,r01,auto
Abdullah_uc_C_r02.png,Abdullah,uc_C,r02,auto
Abdullah_uc_C_r03.png,Abdullah,uc_C,r03,auto
Abdullah_uc_D_r01.png,Abdullah,uc_D,r01,auto
Abdullah_uc_D_r02.png,Abdullah,uc_D,r02,auto
Abdullah_uc_D_r03.png,Abdullah,uc_D,r03,auto
Abdullah_uc_E_r01.png,Abdullah,uc_E,r01,auto
Abdullah_uc_E_r02.png,Abdullah,uc_E,r02,auto
Abdullah_uc_E_r03.png,Abdullah,uc_E,r03,auto
Abdullah_uc_F_r01.png,Abdullah,uc_F,r01,auto
Abdullah_uc_F_r02.png,Abdullah,uc_F,r02,auto
Abdullah_uc_F_r03.png,Abdullah,uc_F,r03,auto
Abdullah_uc_G_r01.png,Abdullah,uc_G,r01,auto
Abdullah_uc_G_r02.png,Abdullah,uc_G,r02,auto
Abdullah_uc_G_r03.png,Abdullah,uc_G,r03,auto
Abdullah_uc_H_r01.png,Abdullah,uc_H,r01,auto
Abdullah_uc_H_r02.png,Abdullah,uc_H,r02,auto
Abdullah_uc_H_r03.png,Abdullah,uc_H,r03,auto
Abdullah_uc_I_r01.png,Abdullah,uc_I,r01,auto
Abdullah_uc_I_r02.png,Abdullah,uc_I,r02,auto
Abdullah_uc_I_r03.png,Abdullah,uc_I,r03,auto
Abdullah_uc_J_r01.png,Abdullah,uc_J,r01,auto
Abdullah_uc_J_r02.png,Abdullah,uc_J,r02,auto
Abdullah_uc_J_r03.png,Abdullah,uc_J,r03,auto
Abdullah_uc_K_r01.png,Abdullah,uc_K,r01,auto
Abdullah_uc_K_r02.png,Abdullah,uc_K,r02,auto
Abdullah_uc_K_r03.png,Abdullah,uc_K,r03,auto
Abdullah_uc_L_r01.png,Abdullah,uc_L,r01,auto
Abdullah_uc_L_r02.png,Abdullah,uc_L,r02,auto
Abdullah_uc_L_r03.png,Abdullah,uc_L,r03,auto
Abdullah_uc_M_r01.png,Abdullah,uc_M,r01,auto
Abdullah_uc_M_r02.png,Abdullah,uc_M,r02,auto
Abdullah_uc_M_r03.png,Abdullah,uc_M,r03,auto
Abdullah_uc_N_r01.png,Abdullah,uc_N,r01,auto
Abdullah_uc_N_r02.png,Abdullah,uc_N,r02,auto
Abdullah_uc_N_r03.png,Abdullah,uc_N,r03,auto
Abdullah_uc_O_r01.png,Abdullah,uc_O,r01,auto
Abdullah_uc_O_r02.png,Abdullah,uc_O,r02,auto
Abdullah_uc_O_r03.png,Abdullah,uc_O,r03,auto
Abdullah_uc_P_r01.png,Abdullah,uc_P,r01,auto
Abdullah_uc_P_r02.png,Abdullah,uc_P,r02,auto
Abdullah_uc_P_r03.png,Abdullah,uc_P,r03,auto
Abdullah_uc_Q_r01.png,Abdullah,uc_Q,r01,auto
Abdullah_uc_Q_r02.png,Abdullah,uc_Q,r02,auto
Abdullah_uc_Q_r03.png,Abdullah,uc_Q,r03,auto
Abdullah_uc_R_r01.png,Abdullah,uc_R,r01,auto
Abdullah_uc_R_r02.png,Abdullah,uc_R,r02,auto
Abdullah_uc_R_r03.png,Abdullah,uc_R,r03,auto
Abdullah_uc_S_r01.png,Abdullah,uc_S,r01,auto
Abdullah_uc_S_r02.png,Abdullah,uc_S,r02,auto
Abdullah_uc_S_r03.png,Abdullah,uc_S,r03,auto
Abdullah_uc_T_r01.png,Abdullah,uc_T,r01,auto
Abdullah_uc_T_r02.png,Abdullah,uc_T,r02,auto
Abdullah_uc_T_r03.png,Abdullah,uc_T,r03,auto
Abdullah_uc_U_r01.png,Abdullah,uc_U,r01,auto
Abdullah_uc_U_r02.png,Abdullah,uc_U,r02,auto
Abdullah_uc_U_r03.png,Abdullah,uc_U,r03,auto
Abdullah_uc_V_r01.png,Abdullah,uc_V,r01,auto
Abdullah_uc_V_r02.png,Abdullah,uc_V,r02,auto
Abdullah_uc_V_r03.png,Abdullah,uc_V,r03,auto
Abdullah_uc_W_r01.png,Abdullah,uc_W,r01,auto
Abdullah_uc_W_r02.png,Abdullah,uc_W,r02,auto
Abdullah_uc_W_r03.png,Abdullah,uc_W,r03,auto
Abdullah_uc_X_r01.png,Abdullah,uc_X,r01,auto
Abdullah_uc_X_r02.png,Abdullah,uc_X,r02,auto
Abdullah_uc_X_r03.png,Abdullah,uc_X,r03,auto
Abdullah_uc_Y_r01.png,Abdullah,uc_Y,r01,auto
Abdullah_uc_Y_r02.png,Abdullah,uc_Y,r02,auto
Abdullah_uc_Y_r03.png,Abdullah,uc_Y,r03,auto
Abdullah_uc_Z_r01.png,Abdullah,uc_Z,r01,auto
Abdullah_uc_Z_r02.png,Abdullah,uc_Z,r02,auto
Abdullah_uc_Z_r03.png,Abdullah,uc_Z,r03,auto
Abdullah_lc_a_r01.png,Abdullah,lc_a,r01,auto
Abdullah_lc_a_r02.png,Abdullah,lc_a,r02,auto
Abdullah_lc_a_r03.png,Abdullah,lc_a,r03,auto
Abdullah_lc_b_r01.png,Abdullah,lc_b,r01,auto
Abdullah_lc_b_r02.png,Abdullah,lc_b,r02,auto
Abdullah_lc_b_r03.png,Abdullah,lc_b,r03,auto
Abdullah_lc_c_r01.png,Abdullah,lc_c,r01,auto
Abdullah_lc_c_r02.png,Abdullah,lc_c,r02,auto
Abdullah_lc_c_r03.png,Abdullah,lc_c,r03,auto
Abdullah_lc_d_r01.png,Abdullah,lc_d,r01,auto
Abdullah_lc_d_r02.png,Abdullah,lc_d,r02,auto
Abdullah_lc_d_r03.png,Abdullah,lc_d,r03,auto
Abdullah_lc_e_r01.png,Abdullah,lc_e,r01,auto
Abdullah_lc_e_r02.png,Abdullah,lc_e,r02,auto
Abdullah_lc_e_r03.png,Abdullah,lc_e,r03,auto
Abdullah_lc_f_r01.png,Abdullah,lc_f,r01,auto
Abdullah_lc_f_r02.png,Abdullah,lc_f,r02,auto
Abdullah_lc_f_r03.png,Abdullah,lc_f,r03,auto
Abdullah_lc_g_r01.png,Abdullah,lc_g,r01,auto
Abdullah_lc_g_r02.png,Abdullah,lc_g,r02,auto
Abdullah_lc_g_r03.png,Abdullah,lc_g,r03,auto
